period,stateid,stateDescription,fuelid,fuelDescription,co2-rate-lbs-mwh,co2-thousand-metric-tons,nox-rate-lbs-mwh,nox-short-tons,so2-rate-lbs-mwh,so2-short-tons,co2-rate-lbs-mwh-units,co2-thousand-metric-tons-units,nox-rate-lbs-mwh-units,nox-short-tons-units,so2-rate-lbs-mwh-units,so2-short-tons-units
2023,AZ,Arizona,COL,Coal,,12863,,9238,,6854,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WY,Wyoming,ALL,Total,1864,36580,1.4,31178,1.1,24209,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WY,Wyoming,PET,Petroleum,,37,,22,,13,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WY,Wyoming,OTH,Other,,0,,3436,,8,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WY,Wyoming,NG,Natural Gas,,1516,,2489,,9,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WY,Wyoming,COL,Coal,,35027,,25231,,24179,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WV,West Virginia,PET,Petroleum,,130,,38,,9,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WV,West Virginia,OTH,Other,,0,,102,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WV,West Virginia,NG,Natural Gas,,2161,,1288,,10,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WV,West Virginia,COL,Coal,,43453,,26685,,39145,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WV,West Virginia,ALL,Total,1925,45743,1.1,28113,1.5,39164,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WI,Wisconsin,ALL,Total,1148,32649,.7,22213,.3,7845,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WI,Wisconsin,PET,Petroleum,,156,,164,,157,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WI,Wisconsin,OTH,Other,,269,,5407,,2379,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WI,Wisconsin,NG,Natural Gas,,11271,,8442,,70,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WI,Wisconsin,COL,Coal,,20952,,8200,,5239,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WA,Washington,ALL,Total,292,13674,.3,14421,.2,10899,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WA,Washington,PET,Petroleum,,41,,106,,158,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WA,Washington,OTH,Other,,124,,4760,,9190,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WA,Washington,NG,Natural Gas,,8701,,5213,,74,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,WA,Washington,COL,Coal,,4808,,4342,,1477,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,VT,Vermont,ALL,Total,8,9,.8,1017,0,46,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,VT,Vermont,PET,Petroleum,,4,,22,,5,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,VT,Vermont,OTH,Other,,0,,981,,41,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,VT,Vermont,NG,Natural Gas,,5,,14,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,VA,Virginia,ALL,Total,594,24587,.4,16453,.2,11179,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,VA,Virginia,PET,Petroleum,,234,,644,,199,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,VA,Virginia,OTH,Other,,901,,9649,,9251,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,VA,Virginia,NG,Natural Gas,,21704,,5266,,120,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,VA,Virginia,COL,Coal,,1748,,894,,1609,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IN,Indiana,ALL,Total,1497,61252,1.1,47671,.6,25344,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IN,Indiana,PET,Petroleum,,89,,70,,30,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IN,Indiana,OTH,Other,,379,,8484,,706,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IN,Indiana,NG,Natural Gas,,17253,,7772,,92,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IN,Indiana,COL,Coal,,43532,,31345,,24516,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IL,Illinois,ALL,Total,522,42186,.2,19750,.4,32285,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IL,Illinois,PET,Petroleum,,28,,141,,20,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IL,Illinois,OTH,Other,,0,,1901,,42,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IL,Illinois,NG,Natural Gas,,12480,,5997,,65,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IL,Illinois,COL,Coal,,29678,,11711,,32158,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,ID,Idaho,ALL,Total,370,3002,.5,4164,.4,3470,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,ID,Idaho,PET,Petroleum,,0,,1,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,ID,Idaho,OTH,Other,,0,,2470,,3454,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,ID,Idaho,NG,Natural Gas,,3002,,1693,,16,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IA,Iowa,ALL,Total,775,24593,.6,20711,.6,19702,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IA,Iowa,PET,Petroleum,,138,,329,,492,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IA,Iowa,OTH,Other,,0,,1562,,23,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IA,Iowa,NG,Natural Gas,,4946,,3552,,28,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,IA,Iowa,COL,Coal,,19509,,15268,,19159,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,HI,Hawaii,ALL,Total,1444,6035,3.9,17934,4.1,18927,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,HI,Hawaii,PET,Petroleum,,5713,,16815,,18383,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,HI,Hawaii,OTH,Other,,322,,1119,,544,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,GA,Georgia,ALL,Total,733,43044,.6,38053,.7,46044,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,GA,Georgia,PET,Petroleum,,967,,1564,,2383,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,GA,Georgia,OTH,Other,,301,,16506,,35575,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,GA,Georgia,NG,Natural Gas,,24961,,8119,,135,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,GA,Georgia,COL,Coal,,16815,,11864,,7951,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,FL,Florida,ALL,Total,794,93735,.4,47988,.2,23100,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,FL,Florida,PET,Petroleum,,1306,,623,,1559,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,FL,Florida,OTH,Other,,2584,,12530,,11912,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,FL,Florida,NG,Natural Gas,,77921,,31777,,420,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,FL,Florida,COL,Coal,,11924,,3058,,9209,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,DE,Delaware,ALL,Total,1095,2374,.6,1505,.1,173,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,DE,Delaware,PET,Petroleum,,16,,17,,42,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,DE,Delaware,OTH,Other,,0,,928,,2,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,DE,Delaware,NG,Natural Gas,,2327,,543,,11,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,DE,Delaware,COL,Coal,,32,,17,,118,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,KY,Kentucky,COL,Coal,,43554,,27241,,34743,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,KY,Kentucky,ALL,Total,1741,50039,1,32085,1.2,37690,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,KY,Kentucky,PET,Petroleum,,53,,25,,18,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,KY,Kentucky,OTH,Other,,84,,2099,,2867,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,KY,Kentucky,NG,Natural Gas,,6348,,2720,,62,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,KS,Kansas,ALL,Total,763,20280,.5,15950,.1,3265,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,KS,Kansas,PET,Petroleum,,67,,346,,68,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,KS,Kansas,OTH,Other,,0,,883,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,KS,Kansas,NG,Natural Gas,,2529,,6178,,10,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,KS,Kansas,COL,Coal,,17683,,8543,,3187,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,TX,Texas,ALL,Total,855,212769,.6,165149,.4,111222,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,TX,Texas,PET,Petroleum,,330,,1061,,568,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,TX,Texas,OTH,Other,,8,,7199,,6263,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,TX,Texas,NG,Natural Gas,,134426,,111016,,808,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,TX,Texas,COL,Coal,,78004,,45873,,103583,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,TN,Tennessee,ALL,Total,715,25297,.3,12084,.4,17184,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,TN,Tennessee,PET,Petroleum,,103,,32,,25,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,TN,Tennessee,OTH,Other,,0,,2011,,4283,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,TN,Tennessee,NG,Natural Gas,,7333,,2692,,40,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,TN,Tennessee,COL,Coal,,17861,,7349,,12836,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,SD,South Dakota,ALL,Total,369,2926,.3,2847,.1,775,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,SD,South Dakota,PET,Petroleum,,23,,96,,29,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,SD,South Dakota,OTH,Other,,0,,154,,17,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,SD,South Dakota,NG,Natural Gas,,1159,,1803,,3,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,SD,South Dakota,COL,Coal,,1744,,794,,726,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,SC,South Carolina,ALL,Total,558,25599,.3,16735,.4,20842,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,SC,South Carolina,PET,Petroleum,,97,,99,,126,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,SC,South Carolina,OTH,Other,,146,,4997,,11329,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,SC,South Carolina,NG,Natural Gas,,10319,,2683,,46,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,SC,South Carolina,COL,Coal,,15037,,8956,,9341,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,RI,Rhode Island,ALL,Total,847,4014,.5,2504,0,43,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,RI,Rhode Island,PET,Petroleum,,24,,10,,28,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,RI,Rhode Island,OTH,Other,,0,,393,,1,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,RI,Rhode Island,NG,Natural Gas,,3990,,2101,,14,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,PA,Pennsylvania,ALL,Total,655,70207,.3,34100,.2,28445,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,PA,Pennsylvania,PET,Petroleum,,78,,396,,71,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,PA,Pennsylvania,OTH,Other,,1547,,12230,,3992,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,PA,Pennsylvania,NG,Natural Gas,,54131,,14265,,289,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,PA,Pennsylvania,COL,Coal,,14451,,7209,,24093,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,OR,Oregon,ALL,Total,344,9636,.8,24071,.1,4013,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,OR,Oregon,PET,Petroleum,,0,,3,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,OR,Oregon,OTH,Other,,53,,5043,,3954,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,OR,Oregon,NG,Natural Gas,,9583,,19025,,59,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,UT,Utah,ALL,Total,1354,20620,1.4,22679,.3,4808,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,UT,Utah,PET,Petroleum,,24,,21,,3,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,UT,Utah,OTH,Other,,10,,1324,,0,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,UT,Utah,NG,Natural Gas,,4986,,2666,,26,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,UT,Utah,COL,Coal,,15600,,18668,,4779,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,US,United States,NG,Natural Gas,,789927,,503986,,4769,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
2023,US,United States,COL,Coal,,708887,,468057,,673013,pounds per megawatthour,thousand metric tons,pounds per megawatthour,short tons,pounds per megawatthour,short tons
